simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,nueva_eleccion,estrategia,resultado
588,3,1,1,2,0,Cambiar,0
589,3,1,1,0,2,Cambiar,0
590,3,1,0,2,1,Cambiar,1
591,3,2,2,0,1,Cambiar,0
592,3,2,2,0,1,Cambiar,0
593,3,0,0,1,2,Cambiar,0
594,3,2,2,1,0,Cambiar,0
595,3,1,0,2,1,Cambiar,1
596,3,1,0,2,1,Cambiar,1
597,3,2,0,1,2,Cambiar,1
598,3,2,0,1,2,Cambiar,1
599,3,2,0,1,2,Cambiar,1
600,3,2,1,0,2,Cambiar,1
601,3,1,0,2,1,Cambiar,1
602,3,2,2,0,1,Cambiar,0
603,3,2,0,1,2,Cambiar,1
604,3,1,1,2,0,Cambiar,0
605,3,2,0,1,2,Cambiar,1
606,3,1,0,2,1,Cambiar,1
607,3,0,1,2,0,Cambiar,1
608,3,1,0,2,1,Cambiar,1
609,3,1,2,0,1,Cambiar,1
610,3,0,2,1,0,Cambiar,1
611,3,2,2,0,1,Cambiar,0
612,3,2,0,1,2,Cambiar,1
613,3,2,0,1,2,Cambiar,1
614,3,2,0,1,2,Cambiar,1
615,3,1,0,2,1,Cambiar,1
616,3,2,1,0,2,Cambiar,1
617,3,0,1,2,0,Cambiar,1
618,3,0,0,1,2,Cambiar,0
619,3,1,1,0,2,Cambiar,0
620,3,2,1,0,2,Cambiar,1
621,3,0,1,2,0,Cambiar,1
622,3,0,2,1,0,Cambiar,1
623,3,2,0,1,2,Cambiar,1
624,3,0,2,1,0,Cambiar,1
625,3,2,2,1,0,Cambiar,0
626,3,0,1,2,0,Cambiar,1
627,3,1,2,0,1,Cambiar,1
628,3,0,2,1,0,Cambiar,1
629,3,2,0,1,2,Cambiar,1
630,3,0,0,2,1,Cambiar,0
631,3,2,2,0,1,Cambiar,0
632,3,0,2,1,0,Cambiar,1
633,3,1,0,2,1,Cambiar,1
634,3,1,1,0,2,Cambiar,0
635,3,2,1,0,2,Cambiar,1
636,3,2,2,0,1,Cambiar,0
637,3,2,2,0,1,Cambiar,0
638,3,2,2,1,0,Cambiar,0
639,3,1,2,0,1,Cambiar,1
640,3,0,2,1,0,Cambiar,1
641,3,0,1,2,0,Cambiar,1
