simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,estrategia,resultado
748,3,2,2,0,No cambiar,1
749,3,1,0,2,No cambiar,0
750,3,0,2,1,No cambiar,0
751,3,2,0,1,No cambiar,0
752,3,1,1,2,No cambiar,1
753,3,0,0,1,No cambiar,1
754,3,1,0,2,No cambiar,0
755,3,1,1,0,No cambiar,1
756,3,1,1,2,No cambiar,1
757,3,2,2,1,No cambiar,1
758,3,2,1,0,No cambiar,0
759,3,2,1,0,No cambiar,0
760,3,2,0,1,No cambiar,0
761,3,2,1,0,No cambiar,0
762,3,2,1,0,No cambiar,0
763,3,1,0,2,No cambiar,0
764,3,2,1,0,No cambiar,0
765,3,1,2,0,No cambiar,0
